Date,Year,Time,DOY,Year_DOY,NEE,Re,GPP,NDVI,Temp,PAR,PAR_vis,LAI,Re_mod1,Re_mod2,Re_mod3,Resid1,Resid2,Resid3,,Re params,ER1,ER2,ER3
2009.551913,2009,203,203,2009_203,-1.002260602,1.755341536,2.757602138,0.634631751,12.16,28.74313127,28.74313127,0.438016736,1.016079244,1.313104876,1.292979822,0.546508737,0.195573264,0.213778354,,,,,
2009.554645,2009,204,204,2009_204,-2.203881553,1.870636186,4.074517739,0.639783863,6.143,15.72183128,15.72183128,0.456631822,0.95623773,1.251602445,1.169704974,0.836124536,0.383202772,0.491304564,,,,,
2009.557377,2009,205,205,2009_205,-0.740567496,1.883899762,2.624467258,0.654709992,15.38,29.11116377,29.11116377,0.515148482,1.262263056,1.420794418,1.429239312,0.386432195,0.214466559,0.206716125,,,,,
2009.560109,2009,206,206,2009_206,-1.190409746,1.907138317,3.097548062,0.663973673,17.7,29.09601979,29.09601979,0.555178658,1.41508992,1.500834106,1.522546997,0.242111625,0.165083112,0.147910484,,,,,
2009.562842,2009,207,207,2009_207,-0.531504789,1.83757183,2.369076619,0.647959368,19.63,29.89635798,29.89635798,0.487807864,1.284853598,1.480785243,1.52294123,0.305497445,0.127296668,0.098992415,,,,,
2009.565574,2009,208,208,2009_208,-0.991122723,1.743515453,2.734638177,0.650368649,21.5,26.63711495,26.63711495,0.497395012,1.352436019,1.531924118,1.584063697,0.152943124,0.044770893,0.025424863,,,,,
2009.568306,2009,209,209,2009_209,-1.114913672,1.836483226,2.951396898,0.659481706,22.86,27.94745303,27.94745303,0.535393778,1.489815854,1.606806179,1.656622073,0.120178267,0.052751546,0.032350034,,,,,
2009.571038,2009,210,210,2009_210,-0.966811641,1.862635201,2.829446842,0.643845215,21.91,19.63840654,19.63840654,0.471861847,1.291986952,1.514544192,1.574503181,0.325639424,0.121167351,0.083020061,,,,,
2009.57377,2009,211,211,2009_211,-0.168346257,1.894365578,2.062711836,0.621109476,23.44,31.1358545,31.1358545,0.392689854,1.103551001,1.460441169,1.550690535,0.625387695,0.188290393,0.118112535,,,,,
2009.576503,2009,212,212,2009_212,-1.675845806,1.789511434,3.46535724,0.700309538,18.1,14.55377425,14.55377425,0.744581254,1.910809894,1.678712257,1.682547142,0.014713316,0.012276458,0.01144136,,,,,
