"","value","scale","L1","L2","Mean","Min","Max","N","var"
"UptakeRate4",0.0109808602057993,0.0109808602057993,0.00265033545767279,0.00591757606611443,0.00255452418461824,-0.00318456788640746,0.0258340420973995,1826,"NDVI"
"propN_roots4",0.0111813370636474,0.0111813370636474,0.00265033557589202,0.00591757629021291,0.00255452430843881,-0.003184567881127,0.02583404284434,1826,"NDVI"
"Available_N4",2.64937158015817,2.64937158015817,0.00300866706806901,0.00709830814123715,0.00300866706806901,0,0.0295742041966918,1826,"NDVI"
"Biomass_N4",10.1849611575459,10.1849611575459,0.010609076119127,0.025029828714175,0.010609076119127,0,0.104283567892161,1826,"NDVI"
"netNrate4",0.0367319566769456,0.0367319566769456,0.0331919641915849,0.0620258438561283,0.0331919641915849,0,0.140560922211867,1826,"NDVI"
"LitterRateN4",0.00211063068724482,0.00211063068724482,0.0379622127293768,0.0705204967628245,-0.0379622127293768,-0.171072124989636,0,1826,"NDVI"
"propN_fol4",0.169104545341887,0.169104545341887,0.0499091154538096,0.0873497868585495,0.0499091154538096,0,0.169255942759505,1826,"NDVI"
"SOM_C5",20344.2164917512,20344.2164917512,0,0,0,0,0,1826,"NEE"
"SOM_N5",875.000064298401,875.000064298401,0,0,0,0,0,1826,"NEE"
"kplant5",0.151576484745363,0.151576484745363,0.00902501081531588,0.0211550296915606,0.00851504966138603,-0.0420112591691496,0.103059740176066,1826,"NEE"
"Biomass_C5",639.442368982487,639.442368982487,0.0106648266910783,0.0315515344260015,-0.00957757503356421,-0.241820696800232,0.0736775085385943,1826,"NEE"
"cue5",0.685843922537506,0.685843922537506,0.019941459124136,0.0544564609200271,-0.018211768211869,-0.47114983854582,0.187288646209475,1826,"NEE"
"LitterRateC5",0.00129299451822248,0.00129299451822248,0.0216442183881416,0.058928878216572,0.0199389619964737,-0.203014654946154,0.498471053033077,1826,"NEE"
"UptakeRate5",0.0109808602057993,0.0109808602057993,0.0303930388218093,0.0760507466290418,-0.0277893733284181,-0.529618102589466,0.212283444649559,1826,"NEE"
"propN_roots5",0.0111813370636474,0.0111813370636474,0.0303930399568595,0.076050749177825,-0.0277893743958207,-0.529618118291004,0.212283443834364,1826,"NEE"
"Available_N5",2.64937158015817,2.64937158015817,0.0369461667668683,0.105457172192084,-0.036002886725959,-0.781028974827791,0.16919283751804,1826,"NEE"
"Biomass_N5",10.1849611575459,10.1849611575459,0.130278527849414,0.371859789960233,-0.126952358899799,-2.75404055116724,0.596601523739082,1826,"NEE"
"netNrate5",0.0367319566769456,0.0367319566769456,0.364288358785915,0.80191190442073,-0.35091567135319,-4.15054079552826,1.43209654643194,1826,"NEE"
"LitterRateN5",0.00211063068724482,0.00211063068724482,0.424563910309466,0.931184188815327,0.409418553285389,-1.68324942130333,4.93352234226293,1826,"NEE"
"propN_fol5",0.169104545341887,0.169104545341887,0.566601335010527,1.18980980827498,-0.546957556802034,-4.96117394145009,1.7401547123667,1826,"NEE"
"beta5",0.0766926065650583,0.0766926065650583,1.06267940078579,2.45975990750776,0.984754017982335,-0.124447145125314,17.3329918587114,1826,"NEE"
"SOM_N6",875.000064298401,875.000064298401,0,0,0,0,0,1826,"SOM_C"
"kplant6",0.151576484745363,0.151576484745363,2.13344758645433,2.81458581245723,-1.59885753804763,-5.93715847919657,1.89808422198263,1826,"SOM_C"
"UptakeRate6",0.0109808602057993,0.0109808602057993,5.1113390361543,6.57218467488296,2.98205712243567,-6.24218398788663,15.4666242153865,1826,"SOM_C"
"propN_roots6",0.0111813370636474,0.0111813370636474,5.11137711925327,6.57223298944312,2.98210520396774,-6.24218514678157,15.4667120260874,1826,"SOM_C"
"Available_N6",2.64937158015817,2.64937158015817,19.6967135779106,25.4886873339682,17.888913051134,-11.8034222396091,47.7160938316956,1826,"SOM_C"
"netNrate6",0.0367319566769456,0.0367319566769456,59.4645045706688,87.9095799646683,48.9738068082479,-45.075884755121,216.864515082227,1826,"SOM_C"
"Biomass_N6",10.1849611575459,10.1849611575459,69.4503237848193,89.8739495267258,63.0765865086517,-41.6206603404135,168.251426657662,1826,"SOM_C"
"LitterRateN6",0.00211063068724482,0.00211063068724482,73.736276385593,107.840743705014,-63.9439745545051,-258.911397000492,45.532319568265,1826,"SOM_C"
"propN_fol6",0.169104545341887,0.169104545341887,150.329431620101,207.041369645562,133.387080145106,-78.7249541550467,448.044329591115,1826,"SOM_C"
"cue6",0.685843922537506,0.685843922537506,379.304378040005,414.391964319929,-379.304378040005,-610.002533111567,0,1826,"SOM_C"
"LitterRateC6",0.00129299451822248,0.00129299451822248,388.499080093137,419.271679133237,388.499080093137,0,553.847517001648,1826,"SOM_C"
"Biomass_C6",639.442368982487,639.442368982487,396.913415391821,429.436649975092,396.913415391821,0,589.162300457247,1826,"SOM_C"
"beta6",0.0766926065650583,0.0766926065650583,865.162701805245,1006.26975489116,-864.558875630286,-1755.64881075589,7.32075676161401,1826,"SOM_C"
"SOM_C6",20344.2164917512,20344.2164917512,20344.2163183354,20344.2163183354,20344.2163183354,20344.2163183354,20344.2163183354,1826,"SOM_C"
"beta7",0.0766926065650583,0.0766926065650583,0,0,0,0,0,1826,"SOM_N"
"SOM_C7",20344.2164917512,20344.2164917512,0,0,0,0,0,1826,"SOM_N"
"kplant7",0.151576484745363,0.151576484745363,0.0836204975141637,0.0897128814105895,-0.0836204975141637,-0.142379752510361,0,1826,"SOM_N"
"cue7",0.685843922537506,0.685843922537506,0.129078968368451,0.165399256135264,0.129078968368451,0,0.398621121983154,1826,"SOM_N"
"Biomass_C7",639.442368982487,639.442368982487,0.132120759993904,0.138691175580613,0.132120759993904,0,0.22425865608966,1826,"SOM_N"
"propN_fol7",0.169104545341887,0.169104545341887,0.134023250706007,0.171777021454227,0.134023250706007,0,0.415420647364684,1826,"SOM_N"
"LitterRateC7",0.00129299451822248,0.00129299451822248,0.13422713370518,0.172736644644434,-0.13422713370518,-0.42195478786236,0,1826,"SOM_N"
"propN_roots7",0.0111813370636474,0.0111813370636474,0.261212006315158,0.276544416099783,0.261212006315158,0,0.498110713684882,1826,"SOM_N"
"UptakeRate7",0.0109808602057993,0.0109808602057993,0.261212926037338,0.276545341441548,0.261212926037338,0,0.498111818610975,1826,"SOM_N"
"Available_N7",2.64937158015817,2.64937158015817,1.92964538503944,2.06526633729587,1.92964538503944,0,2.60577053268207,1826,"SOM_N"
"Biomass_N7",10.1849611575459,10.1849611575459,7.63699197706133,8.07476715482303,7.63699197706133,0,10.0308170658536,1826,"SOM_N"
"netNrate7",0.0367319566769456,0.0367319566769456,8.52216609060255,9.12225387887299,-8.52216609060255,-12.4396817690037,0,1826,"SOM_N"
"LitterRateN7",0.00211063068724482,0.00211063068724482,8.81879362170696,9.3118460099644,8.81879362170696,0,11.3170051567913,1826,"SOM_N"
"SOM_N7",875.000064298401,875.000064298401,875.000068845111,875.000068845111,875.000068845111,875.000068845111,875.000068845111,1826,"SOM_N"
